ID,ファイル名,施設名,場所,イベント名,競技,ｲﾍﾞﾝﾄ内容,開催日,実施時間,申込方法,費用,対象,最寄駅,住所,電話,問い合わせ,ＵＲＬ,最近身体が痛いな…,身体の状態を知りたい!,やせたい!,きれいになりたい!,新感覚!?,みんなでワイワイ!,一人で参加OK!,若者には負けないぞ!,親子でエンジョイ!,子どもに運動を!,まずは体験!,習いたい!
1,スポーツセンター,城東区民センター,,ニュースポーツ体験,ニュースポーツ,ストレッチ体験やニュースポーツを体験。,9/10(日),10:00~15:00,当日受付,無料,どなたでも,地下鉄「蒲生四丁目」駅,城東区中央3-5-45,,城東区スポーツ推進委員協議会電話:080-8333-2690,,,,,,1,1,1,,,,1,
2,フェスタ,天王寺スポーツセンター,,天王寺オータム・チャレンジ・スポーツ,テニス,1.テニス、子どもテニス/2.バドミントン、子どもバドミントン、卓球、ソフトバレーボール,9/17(日),1.9:30~12:30/2.13:30~16:30,当日受付・先着順,無料,小学生以上各種目30名,地下鉄・JR「玉造」駅,天王寺区真田山町5-109,06-6576-0800,天王寺区スポーツ推進委員協議会電話:090-5051-6831,,,,,,,,1,1,,1,,
3,フェスタ,天王寺スポーツセンター,,天王寺オータム・チャレンジ・スポーツ,バドミントン,1.テニス、子どもテニス/2.バドミントン、子どもバドミントン、卓球、ソフトバレーボール,9/17(日),1.9:30~12:30/2.13:30~16:30,当日受付・先着順,無料,小学生以上各種目30名,地下鉄・JR「玉造」駅,天王寺区真田山町5-109,06-6576-0800,天王寺区スポーツ推進委員協議会電話:090-5051-6831,,,,,,,1,1,,,1,,
4,フェスタ,天王寺スポーツセンター,,天王寺オータム・チャレンジ・スポーツ,卓球,1.テニス、子どもテニス/2.バドミントン、子どもバドミントン、卓球、ソフトバレーボール,9/17(日),1.9:30~12:30/2.13:30~16:30,当日受付・先着順,無料,小学生以上各種目30名,地下鉄・JR「玉造」駅,天王寺区真田山町5-109,06-6576-0800,天王寺区スポーツ推進委員協議会電話:090-5051-6831,,,,,,,,1,1,,1,,
5,フェスタ,天王寺スポーツセンター,,天王寺オータム・チャレンジ・スポーツ,ニュースポーツ,1.テニス、子どもテニス/2.バドミントン、子どもバドミントン、卓球、ソフトバレーボール,9/17(日),1.9:30~12:30/2.13:30~16:30,当日受付・先着順,無料,小学生以上各種目30名,地下鉄・JR「玉造」駅,天王寺区真田山町5-109,06-6576-0800,天王寺区スポーツ推進委員協議会電話:090-5051-6831,,,,,,1,1,1,,,1,,
6,大会,西スポーツセンター,,第3回西区スリーアイズ大会,ニュースポーツ,ニュースポーツ「スリーアイズ」大会,9/17(日),8:00~15:00,事前(参加申込書を持参・FAX)先着順(9/4締切)24チーム,500円,どなたでも,地下鉄「阿波座」駅,西区立売堀4-10-18,06-6538-3413,西区スポーツ推進委員協議会事務局電話:06-6535-5010FAX:020-4664-1510,,,,,,1,1,1,,,,,
7,フェスタ,湯里小学校,,オータム・チャレンジ・スポーツ2017inゆざとスポーツ教室,ニュースポーツ,ドッヂビー、グランドゴルフ、スリーアイズ、テニス、盆おどり、キャッチボール、卓球,9/18(祝),9:00~12:00,当日受付・先着順各種目15名,100円,どなたでも(小学生以下は保護者同伴)※障がいのある方もお越しください,近鉄「矢田」駅,東住吉区湯里6-8-3,,ゆざと軽スポーツクラブ電話:090-8127-5847,,,,,,1,1,1,,1,1,,1
8,フェスタ,湯里小学校,,オータム・チャレンジ・スポーツ2017inゆざとスポーツ教室,テニス,ドッヂビー、グランドゴルフ、スリーアイズ、テニス、盆おどり、キャッチボール、卓球,9/18(祝),9:00~12:00,当日受付・先着順各種目15名,100円,どなたでも(小学生以下は保護者同伴)※障がいのある方もお越しください,近鉄「矢田」駅,東住吉区湯里6-8-3,,ゆざと軽スポーツクラブ電話:090-8127-5847,,,,,,,,1,1,1,1,,1
9,フェスタ,湯里小学校,,オータム・チャレンジ・スポーツ2017inゆざとスポーツ教室,卓球,ドッヂビー、グランドゴルフ、スリーアイズ、テニス、盆おどり、キャッチボール、卓球,9/18(祝),9:00~12:00,当日受付・先着順各種目15名,100円,どなたでも(小学生以下は保護者同伴)※障がいのある方もお越しください,近鉄「矢田」駅,東住吉区湯里6-8-3,,ゆざと軽スポーツクラブ電話:090-8127-5847,,,,,,,,1,1,1,1,,1
10,フェスタ,もと平野青少年会館付設体育館,,地域交流会,卓球,卓球ゲームバドミントンソフトバレーボール,9/18(祝),9:30~16:00,当日受付,無料,どなたでも,JR「平野」駅,平野区平野市町3-2-12,,わたの花スポーツクラブ電話:06-6705-2170,,,,,,,1,1,1,,,,
11,フェスタ,もと平野青少年会館付設体育館,,地域交流会,その他,卓球ゲームバドミントンソフトバレーボール,9/18(祝),9:30~16:00,当日受付,無料,どなたでも,JR「平野」駅,平野区平野市町3-2-12,,わたの花スポーツクラブ電話:06-6705-2170,,,,,1,,,1,1,,,,
12,フェスタ,もと平野青少年会館付設体育館,,地域交流会,バドミントン,卓球ゲームバドミントンソフトバレーボール,9/18(祝),9:30~16:00,当日受付,無料,どなたでも,JR「平野」駅,平野区平野市町3-2-12,,わたの花スポーツクラブ電話:06-6705-2170,,,,,,,1,1,1,,,,
13,フェスタ,もと平野青少年会館付設体育館,,地域交流会,ニュースポーツ,卓球ゲームバドミントンソフトバレーボール,9/18(祝),9:30~16:00,当日受付,無料,どなたでも,JR「平野」駅,平野区平野市町3-2-12,,わたの花スポーツクラブ電話:06-6705-2170,,,,,,1,1,1,,,,,
14,大会,鶴見緑地庭球場,,オータム・チャレンジ・スポーツ2017テニス大会,テニス,ﾀﾞﾌﾞﾙｽの大会(初級者男子・女子、一般男子・女子),9/23(土),9:00~17:00,事前(Eメール・申込書送付)・抽選各32組(8/25締切),2000円,どなたでも,地下鉄「鶴見緑地」駅,鶴見区浜1-2-6,06-6915-2500,大阪市テニス協会/電話:090-3622-9029/Eﾒｰﾙ:octa@sound.ocn.ne.jp,,,,,,,1,1,1,,,,
