施設名,Lati,Lng,最近身体が痛いな…,身体の状態を知りたい!,やせたい!,きれいになりたい!,新感覚!?,みんなでワイワイ!,一人で参加OK!,若者には負けないぞ!,親子でエンジョイ!,子どもに運動を!,まずは体験!,習いたい!
アゼリア大正,34.64725,135.472161,,,,,,1,,,,,,
もと平野青少年会館付設体育館,34.626342,135.557220,,,,1,,1,1,1,1,,,1
阿倍野スポーツセンター,34.64200609273101,135.51078088394834,,,,,1,1,1,,1,,1,1
阿倍野屋内プール,34.64363903370655,135.50981407212382,,,,,,,1,,,,,
旭スポーツセンター,34.71689684095193,135.54072779599622,1,1,,1,,1,1,1,1,,1,
旭屋内プール,34.717633,135.546227,,,,1,,,,,,,1,1
下福島屋内プール,34.689972101592204,135.48248866865381,,,,,,,,,,,1,
港スポーツセンター,34.66190589952346,135.44557801652345,,,,,,,,,,,,
此花スポーツセンター,34.6814689,135.4630332,1,1,,,,1,,1,1,,,
此花屋内プール,34.6835579,135.4646219,1,1,,1,,1,1,1,1,1,,
山之内西庭球場,34.588845,135.500392,,,,,,1,,,1,,,
住吉スポーツセンター,34.592203142714844,135.51126395299238,,,,,1,1,,1,,,,1
住吉屋内プール,34.591978,135.511239,1,1,,,,,,,,,,
住之江スポーツセンター,34.6237249,135.4754138,,,,,,1,,1,1,,1,
住之江屋内プール,34.623672,135.4754252,,,,1,,1,1,1,1,1,,
城東スポーツセンター,34.6915893,135.5364691,,,,1,,1,1,1,1,,1,
城東屋内プール,34.7066827484071,135.55315284384852,1,1,,,,,1,1,,,,
真田山プール,34.6710029,135.5283829,,,,,,,1,1,,,,
生野スポーツセンター,34.6532391,135.5441922,,,,,,1,,1,1,,,
生野屋内プール,34.66066050050386,135.53541875266706,1,1,,,,,1,1,,,,
西スポーツセンター,34.68066109580034,135.4876582485351,,,,1,,1,1,,1,,1,
西屋内プール,34.67799,135.481875,,,,,,,,1,,,,1
西成スポーツセンター,34.62815602678304,135.49558880044213,,,,1,,1,1,1,1,,1,1
西成屋内プール,34.62815602678304,135.49558880044213,,,,,,,1,1,,1,,1
西淀川スポーツセンター,34.71736,135.477959,,,,,,1,,1,1,,,
西淀川屋内プール,34.7032303,135.4425017,,,1,1,,1,1,,1,1,1,1
扇町プール,34.70355815976364,135.50985584378452,,,1,,,,1,,,,,
大空小学校,34.6051858,135.5060391,,,,1,,1,1,1,1,,1,1
大阪プール,34.660849288091036,135.44743685542514,,,,1,,,1,1,,,1,1
大阪城弓道場,34.6863276,135.5336037,,,,,1,,1,,,,1,
大正スポーツセンター,34.6473442,135.4720889,1,1,1,1,,,1,,,,,
大正屋内プール,34.6474779,135.4722782,,,,,,,1,1,,,,
巽小学校,34.6460821,135.549572,,,,,,1,,1,1,,,
中央スポーツセンター,34.671682979931305,135.50788920704875,,,1,1,,1,1,1,1,,1,
中央屋内プール,34.6714111,135.5089672,,,1,,,,1,1,,,,1
長居プール,34.61463300974648,135.5201330197925,,,,,,,1,,,,1,
鶴見スポーツセンター,34.7106579,135.5771938,,,,,1,1,,1,1,,1,
鶴見緑地プール,34.7092888,135.5810172,,,,,,,1,1,,,,
鶴見緑地球技場,34.706155837748604,135.581308290641,,,,,,,,,,,,
天王寺スポーツセンター,34.6708559,135.5284813,,,,,1,1,,1,1,,,1
都島スポーツセンター,34.70791711671812,135.52218926347783,1,1,,,,1,,1,1,,,
都島プール,34.7079171,135.5221893,,,1,1,,1,1,1,,,,
都島屋内プール,34.7074031,135.5324584,,,1,1,,,1,1,,,,
東住吉スポーツセンター,34.59864990054361,135.52620271158847,,,,,,1,,1,1,,,
東成スポーツセンター,34.6789919,135.5480392,,,,1,,1,1,1,1,,1,
東成屋内プール,34.67846707687426,135.54796103066394,,,,1,,,,,,,1,
東淀川スポーツセンター,34.73450787036127,135.51947814795037,,,,,,1,1,,,1,1,1
東淀川屋内プール,34.734083,135.5197557,1,1,,,,1,,,1,,1,
東淀川体育館,34.7324891,135.5054328,,,,,,1,,,,,,1
湯里小学校,34.6104131,135.537514,,,,,,1,,1,1,,,
府民共済SUPERアリーナ,34.6655797,135.395422,,,,,,1,,,,,,
福島スポーツセンター,34.6913002,135.473119,,,,,,1,,1,1,,,
"福島区民センター
福島スポーツセンタ―",34.6913002,135.473119,,,,,,1,1,1,1,,1,
平野スポーツセンター,34.617518839300615,135.5602499837507,,,,1,,1,1,1,1,,,
平野屋内プール,34.617518839300615,135.5602499837507,,,,,,,1,1,,,,
北スポーツセンター,34.710306045244856,135.49253273184556,,,,,,1,,1,1,,,
淀川スポーツセンター,34.7345345,135.4940372,1,1,,,1,1,,,,1,1,
淀川屋内プール,34.721306,135.4868477,,,,,,,1,1,,,,
浪速スケートリンク,34.6614581,135.4993503,,,,,1,,,,,,,
浪速スポーツセンター,34.661614,135.4993327,,,,,1,1,,,,,1,1
浪速屋内プール,34.6615361,135.4993327,,,,,,,1,1,,,,
