施設名,Lat,Lng,最近身体が痛いな…,やせたい!,身体の状態を知りたい!,きれいになりたい!,みんなでワイワイ!,新感覚!?,一人で参加OK!,親子でエンジョイ!,若者には負けないぞ!,子どもに運動を!,まずは体験!,習いたい!,住所,電話,URL
アゼリア大正,34.64725,135.472161,,,,,1,1,1,,,,1,,大正区小林東3-3-25,06-6552-9713,
もと平野青少年会館付設体育館,34.626342,135.55722,,,,1,1,1,1,,1,,,,平野区平野市町3-2-12,,
ヤンマースタジアム長居,34.613917,135.5164323,,,,,1,,1,,1,,,,東住吉区長居公園1-1,06-6691-2500,
阿倍野スポーツセンター,34.64200609273101,135.51078088394834,,,,,1,1,1,,,1,1,1,阿倍野区3-10-1,06-6647-0086,http://osakashi.opas.jp/genre/Table_tennis/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/abenosc/index.html
阿倍野屋内プール,34.64363903370655,135.50981407212382,,,,1,,,1,1,1,1,,,阿倍野区阿倍野筋3-13-23,06-6636-7290,http://osakashi.opas.jp/genre/swim/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/abenookunaipool/index.html
旭スポーツセンター,34.71689684095193,135.54072779599622,,,,1,1,,1,,1,,,,旭区高殿5-3-25,06-6951-6575,http://osakashi.opas.jp/genre/Table_tennis/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/asahisportscenter/index.html
旭屋内プール,34.717633,135.546227,,,,1,,,1,1,1,1,1,,旭区高殿6-14-6,06-6955-6491,http://osakashi.opas.jp/genre/swim/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/asahiokunaipool/index.html
下福島プール,34.689972101592204,135.48248866865381,,,,1,,,1,1,1,1,1,1,福島区福島4-1-82,06-6444-3450,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/shimofukushimapool/index.html
港スポーツセンター,34.66190589952346,135.44557801652345,,,,1,1,,1,,1,,,,港区田中3-1-128,06-6576-4081,http://osakashi.opas.jp/chikubetu/seibu/minato/minatosportscenter/index.html
此花スポーツセンター,34.6814689,135.4630332,1,,1,,1,,1,,1,,,,此花区西九条6-1-27,06-6465-5800,http://osakashi.opas.jp/genre/Table_tennis/seibu_minatoku_taisyoku_hukushimaku_konohanaku/konohanasportscenter/index.html
此花屋内プール,34.6835579,135.4646219,1,,,1,,,1,1,1,1,,1,此花区西九条5-4-21,06-6465-6700,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/konohanaokunaipool/index.html
桜橋ボウル,34.698701,135.492372,,,,,,,,1,,1,,,北区梅田2-4-2,,
山之内西庭球場,34.588845,135.500392,,,,,1,1,1,,,1,,,住吉区山之内5,,
住吉スポーツセンター,34.592203142714844,135.51126395299238,,,,,,,1,1,,1,,1,住吉区浅香1-8-15,06-6694-9201,http://osakashi.opas.jp/genre/Table_tennis/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/sumiyoshispc/index.html
住吉屋内プール,34.591978,135.511239,1,,,1,,,1,1,,1,,,住吉区浅香1-8-15,06-6694-9201,http://osakashi.opas.jp/genre/swim/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/sumiyoship/index.html
住之江スポーツセンター,34.6237249,135.4754138,,,,,1,1,1,,1,,1,,住之江区北加賀屋5-3-47,06-6686-4172,http://osakashi.opas.jp/genre/Table_tennis/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/suminoesc/index.html
住之江屋内プール,34.623672,135.4754252,1,1,,1,,,1,1,1,1,,,住之江区北加賀屋5-3-47,06-6686-4163,http://osakashi.opas.jp/genre/swim/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/suminoeop/index.html
城東スポーツセンター,34.6915893,135.5364691,,,,,1,,1,,1,,,,城東区鴫野西2-1-21,06-6965-1391,http://osakashi.opas.jp/genre/Table_tennis/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/jotosportscenter/index.html
城東屋内プール,34.7066827484071,135.55315284384852,1,,1,,,,1,1,,1,,,城東区関目2-17-45,06-4255-0230,http://osakashi.opas.jp/genre/swim/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/jotookunaipool/index.html
城東区民センター,34.703266,135.5422388,,,,,1,1,1,,,,1,,城東区中央3-5-45,,
真田山プール,34.6710029,135.5283829,,,,,,,1,1,,1,,,天王寺区真田山町5-109,06-6765-0176,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/sanadayama_pool/index.html
生野スポーツセンター,34.6532391,135.5441922,,,,,1,1,1,1,1,1,,,生野区巽西1-1-3,06-6758-4500,http://osakashi.opas.jp/genre/Table_tennis/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/ikunosportscenter/index.html
生野屋内プール,34.66066050050386,135.53541875266706,1,,1,,,,1,1,,1,,,生野区桃谷3-8-18,06-6731-7381,http://osakashi.opas.jp/genre/swim/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/ikunookunaipool/index.html
西スポーツセンター,34.68066109580034,135.4876582485351,,,,1,1,1,1,1,1,1,1,,西区立売堀4-10-18,06-6538-3413,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/nishisportscenter/index.html
西屋内プール,34.67799,135.481875,,,,,,,1,1,1,1,1,1,西区本田1-4-16,06-6581-7601,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/nishiokunaipool/index.html
西成スポーツセンター,34.62815602678304,135.49558880044213,1,1,1,1,1,,1,,1,1,,1,西成区玉出東1-6-1,06-4398-1603,http://osakashi.opas.jp/genre/Table_tennis/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/ninarispc/index.html
